Time,leaps,gnssId,SatelliteID,C1C,L1C,D1C,C1Cstd,L1Cstd,D1Cstd,C1Cvalid,L1Cvalid,L1CLocktime,L1CHalfCycleValid,L1CHalfCycleSubtrated,C1Csnr,C2X,L2X,D2X,C2Xstd,L2Xstd,D2Xstd,C2Xvalid,L2Xvalid,L2XLocktime,L2XHalfCycleValid,L2XHalfCycleSubtrated,C2Xsnr
2024-07-10 07:31:26.002,18,0,26,23442502.77053356,123191183.24097075,-4229.248046875,8.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,29.0,,,,,,,,,,,,
2024-07-10 07:31:26.002,18,0,1,23608075.152962286,124061270.4163185,-4570.17138671875,6.0,6.0,9.0,1.0,1.0,7920.0,1.0,1.0,42.0,,,,,,,,,,,,
2024-07-10 07:31:26.002,18,0,10,22919329.81796192,120441890.5876276,1922.4677734375,4.0,3.0,8.0,1.0,1.0,20520.0,1.0,1.0,46.0,,,,,,,,,,,,
2024-07-10 07:31:26.002,18,0,7,25678191.964655966,134939826.84672612,-484.818603515625,6.0,5.0,8.0,1.0,1.0,7820.0,1.0,1.0,36.0,,,,,,,,,,,,
2024-07-10 07:31:26.002,18,0,18,22912316.201947883,120405035.8137885,-3537.74560546875,3.0,2.0,7.0,1.0,1.0,19140.0,1.0,1.0,46.0,22912312.872117992,93822079.5846299,-2756.874267578125,4.0,2.0,7.0,1.0,1.0,36000.0,1.0,1.0,43.0
2024-07-10 07:31:26.002,18,0,8,23475564.504629638,123364934.6016025,2149.950927734375,7.0,8.0,9.0,1.0,1.0,1920.0,0.0,0.0,34.0,23475566.445533317,96128519.3789355,1672.50341796875,9.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,22.0
2024-07-10 07:31:27.002,18,0,15,24465483.66601019,128566975.38741265,-364.715576171875,7.0,11.0,9.0,1.0,1.0,2920.0,0.0,0.0,33.0,,,,,,,,,,,,
2024-07-10 07:31:27.002,18,0,16,21578541.185521312,113395999.72466323,-2298.101806640625,5.0,3.0,8.0,1.0,1.0,37000.0,1.0,1.0,41.0,,,,,,,,,,,,
2024-07-10 07:31:27.002,18,0,23,21690457.875697233,113984124.6377951,-73.19580078125,3.0,2.0,7.0,1.0,1.0,37000.0,1.0,1.0,46.0,21690454.951829206,88818785.9383167,-57.745849609375,5.0,3.0,7.0,1.0,1.0,32460.0,1.0,0.0,40.0
2024-07-10 07:31:27.002,18,0,27,21222079.02228297,111522775.84113361,629.913818359375,6.0,5.0,8.0,1.0,1.0,37000.0,1.0,1.0,40.0,21222077.189402554,86900855.92424779,490.106689453125,8.0,12.0,9.0,1.0,1.0,2200.0,1.0,0.0,27.0
